Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-11-02,Banco Comafi S.A.,Clase 16,ARS,171000000,General,0.2525,24.3,171.0000,FINANCIERO
2016-11-02,Mercedes-Benz Compañía Financiera Argentina S.A.,Clase 29,ARS,200000000,General,0.2450,18.2,200.0000,FINANCIERO
2016-11-03,GPAT Compañía Financiera S.A.,Serie XXV,ARS,221000000,General,0.2400,18.2,221.0000,FINANCIERO
2016-11-04,Toyota Compañía Financiera de Argentina S.A.,Clase 21,ARS,210000000,General,0.2463,24.3,210.0000,FINANCIERO
2016-11-07,BACS Banco de Crédito y Securitización S.A.,Clase X,ARS,91000000,General,0.2525,18.2,91.0000,FINANCIERO
2016-11-07,BACS Banco de Crédito y Securitización S.A.,Clase XI,ARS,201000000,General,0.2550,36.5,201.0000,FINANCIERO
2016-11-09,Agrofina S.A.,Clase III,ARS,156997598,General,0.2700,12.2,156.9976,INDUSTRIA
2016-11-09,Agrofina S.A.,Clase IV,USD,6167786,General,0.0850,24.3,92.6000,INDUSTRIA
2016-11-10,Disal S.A.,Serie III Clase E,ARS,22093022,General,0.2650,18.2,22.0930,INDUSTRIA
2016-11-10,Disal S.A.,Serie III Clase F,ARS,29200000,General,0.2680,48.7,29.2000,INDUSTRIA
2016-11-10,PSA Finance Argentina Compañía Financiera S.A.,Serie 21,ARS,129000000,General,0.2375,12.2,129.0000,FINANCIERO
2016-11-10,PSA Finance Argentina Compañía Financiera S.A.,Serie 22,ARS,121000000,General,0.2425,18.2,121.0000,FINANCIERO
2016-11-11,Telecom Personal S.A.,Serie III,ARS,721969404,General,0.2396,18.2,721.9694,SERVICIOS_NO_FINANCIEROS
2016-11-11,Telecom Personal S.A.,Serie IV,USD,77900400,General,0.0485,24.3,1185.8000,SERVICIOS_NO_FINANCIEROS
2016-11-14,CGM Leasing Argentina S.A.,Serie XI,ARS,52857142,General,0.2749,30.4,52.8571,FINANCIERO
2016-11-15,Decréditos S.A.,Serie V,ARS,55073684,PyME,0.2800,36.5,55.0737,FINANCIERO
2016-11-15,Banco Supervielle S.A.,Clase VII,ARS,269100000,General,0.2575,12.2,269.1000,FINANCIERO
2016-11-16,BBVA Banco Francés S.A.,Clase 21,ARS,90000000,General,0.2450,18.2,90.0000,FINANCIERO
2016-11-16,BBVA Banco Francés S.A.,Clase 22,ARS,181052631,General,0.2500,36.5,181.0526,FINANCIERO
2016-11-16,Banco de Servicios y Transacciones S.A.U.,Clase XI,ARS,75000000,General,0.2613,85.2,75.0000,FINANCIERO
2016-11-23,FCA Compañía Financiera S.A.,Clase XII,ARS,200000000,General,0.2400,24.3,200.0000,FINANCIERO
2016-11-24,Dulcor S.A.,Clase I,ARS,49633331,General,0.2581,24.3,49.6333,INDUSTRIA
2016-11-25,Celulosa Argentina S.A.,Clase 10,USD,40000943,General,0.0950,36.5,621.4000,INDUSTRIA
2016-11-25,Edisur S.A.,Única,USD,5000000,PyME,0.0750,48.7,77.6700,CONSTRUCCION_E_INFRAESTRUCTURA
2016-11-30,Benito Roggio e Hijos S.A.,Clase 4,ARS,200000000,General,0.2487,18.2,200.0000,CONSTRUCCION_E_INFRAESTRUCTURA
2016-12-01,Rogiro Aceros S.A.,Serie XI,ARS,50000000,General,0.2625,34.3,50.0000,INDUSTRIA
2016-12-02,CFN S.R.L.,Serie I - Clase A,ARS,150000000,General,0.2500,9.1,150.0000,FINANCIERO
2016-12-02,CFN S.R.L.,Serie I - Clase B,ARS,113541664,General,0.2531,24.3,113.5417,FINANCIERO
